timestamp,refinery_area,sensor_id,sensor_type,sensor_reading,sensor_units,operational_status
01/03/2022 12:00:00,Crude Distillation Unit,CDU101,Crude Oil Flow Rate,12000,Barrels/Hour,Normal
01/03/2022 12:00:00,Crude Distillation Unit,CDU102,Crude Oil Temperature,120,Degrees Fahrenheit,Normal
01/03/2022 12:00:00,Crude Distillation Unit,CDU103,Bottom Product Flow Rate,2000,Barrels/Hour,Normal
01/03/2022 12:00:00,Crude Distillation Unit,CDU104,Bottom Product Temperature,650,Degrees Fahrenheit,Alert
01/03/2022 12:00:00,Crude Distillation Unit,CDU105,Overhead Vapor Flow Rate,10000,Pounds/Hour,Normal
01/03/2022 12:00:00,Crude Distillation Unit,CDU106,Furnace Fuel Gas Flow,525,Cubic meters/Hour,Normal
01/03/2022 12:00:00,Crude Distillation Unit,CDU107,Furnace Air Blower Speed,840,RPM,Normal
01/03/2022 12:00:00,Crude Distillation Unit,CDU108,Desalter Oil Outlet Temperature,125,Degrees Fahrenheit,Normal
01/03/2022 12:00:00,Crude Distillation Unit,CDU109,Desalter Water Outlet Temperature,130,Degrees Fahrenheit,Normal
01/03/2022 12:00:00,Crude Distillation Unit,CDU110,Preheat Train Outlet Temperature,350,Degrees Fahrenheit,Normal
01/03/2022 12:00:00,Crude Distillation Unit,CDU111,Naphtha Reboiler Duty,12,MMBTU/Hour,Normal
01/03/2022 12:00:00,Crude Distillation Unit,CDU112,Kerosene Pumparound Flow,60,Cubic Meters/Hour,Normal
01/03/2022 12:00:00,Crude Distillation Unit,CDU113,Diesel Reboiler Duty,15,MMBTU/Hour,Normal
01/03/2022 12:00:00,Crude Distillation Unit,CDU114,Residue Column Bottoms Level,40,Percent,High
01/03/2022 12:15:00,Crude Distillation Unit,CDU101,Crude Oil Flow Rate,12500,Barrels/Hour,Normal
01/03/2022 12:15:00,Crude Distillation Unit,CDU102,Crude Oil Temperature,122,Degrees Fahrenheit,Normal
01/03/2022 12:15:00,Crude Distillation Unit,CDU103,Bottom Product Flow Rate,2100,Barrels/Hour,Normal
01/03/2022 12:15:00,Crude Distillation Unit,CDU104,Bottom Product Temperature,655,Degrees Fahrenheit,Alert
01/03/2022 12:15:00,Crude Distillation Unit,CDU105,Overhead Vapor Flow Rate,10500,Pounds/Hour,Normal
01/03/2022 12:15:00,Crude Distillation Unit,CDU106,Furnace Fuel Gas Flow,550,Cubic meters/Hour,Normal
01/03/2022 12:15:00,Crude Distillation Unit,CDU107,Furnace Air Blower Speed,850,RPM,Normal
01/03/2022 12:15:00,Crude Distillation Unit,CDU108,Desalter Oil Outlet Temperature,127,Degrees Fahrenheit,Normal
01/03/2022 12:15:00,Crude Distillation Unit,CDU109,Desalter Water Outlet Temperature,133,Degrees Fahrenheit,Normal
01/03/2022 12:15:00,Crude Distillation Unit,CDU110,Preheat Train Outlet Temperature,355,Degrees Fahrenheit,Normal
01/03/2022 12:15:00,Crude Distillation Unit,CDU111,Naphtha Reboiler Duty,14,MMBTU/Hour,Normal
